Date,Price (REDY), Price (HALC) , Price (TAMO) , Price (VARB) , Price (KTKM) 
31-12-2024,"1,388.50", 602.45 , 740.15 , 638.50 ," 1,786.05 "
30-12-2024,"1,376.90", 601.10 , 733.65 , 643.45 ," 1,740.70 "
27-12-2024,"1,389.45", 617.40 , 750.50 , 624.30 ," 1,759.90 "
26-12-2024,"1,355.15", 628.75 , 740.80 , 624.10 ," 1,752.80 "
24-12-2024,"1,350.90", 627.45 , 736.10 , 627.30 ," 1,749.05 "
23-12-2024,"1,341.35", 634.15 , 722.20 , 626.55 ," 1,745.35 "
20-12-2024,"1,343.65", 622.65 , 724.05 , 612.55 ," 1,743.55 "
19-12-2024,"1,325.60", 629.35 , 744.05 , 628.00 ," 1,762.10 "
18-12-2024,"1,275.40", 633.00 , 755.70 , 633.45 ," 1,780.00 "
17-12-2024,"1,247.65", 639.45 , 779.75 , 647.85 ," 1,784.05 "
16-12-2024,"1,269.95", 653.50 , 784.80 , 645.40 ," 1,804.45 "
13-12-2024,"1,246.35", 662.10 , 790.30 , 645.65 ," 1,805.65 "
12-12-2024,"1,245.40", 668.70 , 786.35 , 646.25 ," 1,768.70 "
11-12-2024,"1,238.55", 670.50 , 799.10 , 643.95 ," 1,794.70 "
10-12-2024,"1,240.35", 668.90 , 799.90 , 645.35 ," 1,794.70 "
09-12-2024,"1,255.15", 670.90 , 798.75 , 641.60 ," 1,786.25 "
06-12-2024,"1,253.70", 670.15 , 816.80 , 644.05 ," 1,776.95 "
05-12-2024,"1,239.85", 670.85 , 792.55 , 633.50 ," 1,775.15 "
04-12-2024,"1,215.55", 663.05 , 788.10 , 618.90 ," 1,757.50 "
03-12-2024,"1,224.50", 667.55 , 801.25 , 621.10 ," 1,749.90 "
02-12-2024,"1,221.75", 662.60 , 790.05 , 632.25 ," 1,753.95 "
29-11-2024,"1,202.30", 656.20 , 786.45 , 621.20 ," 1,765.25 "
28-11-2024,"1,191.95", 650.25 , 779.45 , 630.70 ," 1,759.20 "
27-11-2024,"1,199.90", 661.10 , 783.95 , 613.00 ," 1,783.20 "
26-11-2024,"1,208.65", 666.10 , 783.00 , 614.25 ," 1,783.60 "
25-11-2024,"1,209.30", 659.85 , 796.60 , 601.10 ," 1,790.75 "
22-11-2024,"1,214.45", 652.10 , 791.00 , 616.40 ," 1,761.45 "
21-11-2024,"1,195.35", 648.05 , 773.85 , 626.75 ," 1,737.10 "
19-11-2024,"1,213.45", 640.00 , 783.20 , 630.35 ," 1,727.75 "
18-11-2024,"1,193.55", 651.05 , 771.90 , 609.85 ," 1,722.75 "
14-11-2024,"1,226.70", 627.35 , 774.30 , 575.65 ," 1,707.90 "
13-11-2024,"1,245.00", 626.60 , 786.25 , 568.10 ," 1,687.85 "
12-11-2024,"1,263.90", 651.65 , 784.85 , 584.30 ," 1,721.40 "
11-11-2024,"1,287.90", 655.35 , 804.70 , 590.80 ," 1,744.00 "
08-11-2024,"1,283.65", 650.45 , 805.45 , 591.55 ," 1,745.80 "
07-11-2024,"1,287.35", 648.10 , 819.75 , 597.25 ," 1,746.90 "
06-11-2024,"1,302.10", 708.20 , 839.70 , 599.20 ," 1,762.60 "
05-11-2024,"1,272.20", 697.55 , 835.65 , 586.25 ," 1,757.15 "
04-11-2024,"1,268.30", 674.30 , 824.10 , 593.50 ," 1,729.35 "
01-11-2024,"1,259.60", 690.90 , 843.45 , 608.50 ," 1,744.40 "
31-10-2024,"1,274.20", 686.05 , 834.05 , 597.75 ," 1,731.10 "
30-10-2024,"1,249.85", 688.40 , 840.20 , 605.55 ," 1,734.60 "
29-10-2024,"1,274.70", 693.60 , 842.75 , 609.30 ," 1,760.20 "
28-10-2024,"1,311.50", 692.90 , 878.45 , 603.80 ," 1,749.85 "
25-10-2024,"1,302.94", 678.75 , 864.30 , 611.20 ," 1,768.85 "
24-10-2024,"1,316.54", 690.70 , 880.00 , 609.30 ," 1,762.20 "
23-10-2024,"1,321.58", 717.10 , 877.65 , 628.75 ," 1,767.80 "
22-10-2024,"1,332.48", 720.25 , 879.50 , 594.55 ," 1,763.15 "
21-10-2024,"1,339.48", 739.60 , 903.30 , 578.45 ," 1,789.20 "
18-10-2024,"1,348.22", 753.50 , 910.15 , 588.75 ," 1,871.05 "
17-10-2024,"1,340.81", 734.80 , 891.60 , 588.40 ," 1,864.05 "
16-10-2024,"1,342.18", 733.10 , 907.45 , 608.30 ," 1,876.35 "
15-10-2024,"1,322.33", 726.95 , 917.30 , 611.05 ," 1,895.20 "
14-10-2024,"1,331.98", 743.00 , 928.25 , 591.65 ," 1,910.80 "
11-10-2024,"1,319.84", 747.35 , 930.70 , 592.35 ," 1,882.40 "
10-10-2024,"1,316.62", 730.15 , 928.50 , 588.65 ," 1,876.10 "
09-10-2024,"1,332.97", 727.55 , 939.15 , 592.40 ," 1,800.80 "
08-10-2024,"1,331.21", 721.80 , 919.80 , 590.00 ," 1,803.40 "
07-10-2024,"1,321.98", 731.30 , 927.85 , 542.05 ," 1,790.25 "
04-10-2024,"1,326.65", 747.90 , 930.75 , 578.90 ," 1,809.00 "
03-10-2024,"1,347.13", 747.10 , 925.70 , 587.75 ," 1,822.80 "
01-10-2024,"1,349.82", 761.55 , 965.20 , 612.25 ," 1,879.40 "
30-09-2024,"1,350.32", 756.20 , 974.65 , 606.30 ," 1,853.95 "
27-09-2024,"1,349.98", 747.15 , 993.00 , 608.55 ," 1,872.45 "
26-09-2024,"1,348.88", 734.65 , 993.15 , 626.85 ," 1,902.30 "
25-09-2024,"1,338.29", 718.45 , 963.60 , 633.30 ," 1,897.95 "
24-09-2024,"1,330.07", 717.85 , 977.30 , 646.85 ," 1,914.70 "
23-09-2024,"1,330.89", 690.55 , 971.80 , 654.10 ," 1,934.70 "
20-09-2024,"1,310.23", 694.40 , 970.85 , 654.45 ," 1,904.50 "
19-09-2024,"1,300.51", 684.20 , 967.00 , 652.15 ," 1,871.95 "
18-09-2024,"1,313.56", 685.25 , 962.05 , 646.70 ," 1,839.70 "
17-09-2024,"1,326.33", 683.00 , 974.95 , 649.65 ," 1,846.65 "
16-09-2024,"1,329.42", 685.15 , 988.40 , 621.05 ," 1,831.30 "
13-09-2024,"1,332.14", 673.25 , 992.10 , 646.65 ," 1,820.35 "
12-09-2024,"1,336.77", 676.20 , 986.15 , 645.60 ," 1,827.45 "
11-09-2024,"1,322.50", 647.70 , 976.30 , 627.66 ," 1,789.25 "
10-09-2024,"1,330.08", 659.50 ," 1,035.80 ", 608.00 ," 1,791.60 "
